Round,Event,PitLoss,SC_Probability,SlowStop_Probability_25.0s,Base_SOFT,Deg_SOFT,Base_MEDIUM,Deg_MEDIUM,Base_HARD,Deg_HARD
1,Bahrain Grand Prix,12.799087168424407,0.0,0.001,97.07949884710449,0.07246047975717095,,,96.26738809756027,0.04310268466259994
2,Saudi Arabian Grand Prix,24.870821132075463,0.01997780244173141,0.001,92.2424933954934,0.028027972027972123,,,,
3,Australian Grand Prix,11.446072073812147,0.0,0.001,,,82.8865083449415,0.029053631343081383,80.8222251728088,0.1321122731289388
4,Japanese Grand Prix,21.922584223918562,0.0,0.001,95.60971944444444,0.044874999999999776,96.16689531149964,0.09737647951571139,96.44333551423617,0.0636558704799069
5,Chinese Grand Prix,16.47454401454928,0.08914728682170543,0.001,101.78221808608059,0.1240531593406587,101.37759602804584,0.12698684314911124,101.33313075048731,0.07948172514619874
6,Miami Grand Prix,17.676933333333338,0.05130513051305131,0.001,,,92.85654264970061,0.06686576945013706,93.05295879155229,0.19711108687845277
7,Emilia Romagna Grand Prix,14.12794707429319,0.0,0.001,,,81.27045872093886,0.059633418748677516,81.80803542105723,0.02109004938948864
8,Monaco Grand Prix,1004.5490185773226,0.0,0.001,78.15435247863248,0.020469059829059992,76.67756862745098,0.04451960784313719,75.61808028985507,0.0027243478260871815
9,Canadian Grand Prix,19.39238159423428,0.09040880503144653,0.001,,,84.0738090909091,0.005209090909090848,,
10,Spanish Grand Prix,11.541168979591845,0.0,0.001,79.79194092890904,0.06674888461782977,80.50978564379551,0.03835797551791592,79.58629270943635,0.044544093475214694
11,Austrian Grand Prix,11.721213914368036,0.0,0.001,,,70.10104524747192,0.09998881916589597,70.30371358785905,0.07701812485666454
12,British Grand Prix,16.197526096974542,0.0,0.001,91.02360779286074,0.14004808949220715,91.23701712051951,0.1865484274238374,91.8953725490196,0.11545098039215683
13,Hungarian Grand Prix,10.112228105301469,0.0,0.001,,,82.99048602386281,0.04482098032096744,83.61637490599611,0.05593228841426769
14,Belgian Grand Prix,9.559060452264177,0.0,0.001,,,109.56434279086928,0.05156138077608661,107.60690159780879,0.04716583097243301
15,Dutch Grand Prix,11.746306078137664,0.0,0.001,75.79845686099918,0.021459443284762708,76.66961818283269,0.028089890589460476,75.84320703050552,0.02022149471356317
16,Italian Grand Prix,13.471267557602062,0.0,0.001,,,84.54608984962405,0.022336247275256366,84.33096030765483,0.08424123467403845
17,Azerbaijan Grand Prix,11.79734461353624,0.0,0.001,,,106.18211107479378,0.295096054286271,107.8466423858376,0.07521713620876935
18,Singapore Grand Prix,15.661262895049276,0.0,0.001,96.45379915929482,0.2383829474872949,98.58781107657241,0.02569685391379158,98.10019313268553,0.02273723280571079
19,United States Grand Prix,10.596599293754124,0.01794145420207743,0.001,,,97.46769230769229,0.0842967032967039,99.21013492989897,0.016044155808966735
20,Mexico City Grand Prix,9.254821273038345,0.05925925925925926,0.001,,,81.20284749271832,0.0547414817473398,80.57505190905191,0.011178249678249732
21,Ṣo Paulo Grand Prix,24.734608890845067,0.04229074889867841,0.001,,,,,,
22,Las Vegas Grand Prix,11.708665326340324,0.0,0.001,,,98.7636059561245,0.15847984048631103,99.010466398889,0.05743609683973448
23,Qatar Grand Prix,31.959732614902848,0.11134676564156946,0.001,,,,,84.38442777777777,0.3768916666666669
24,Abu Dhabi Grand Prix,14.20143339669545,0.0,0.001,88.19658102766796,0.10851383399209488,,,89.62995248703614,0.026265663613091222
